1452	12	19	21.32
598	12231	8	119.11
11738	3060	3	46.84
7555	4857	5	83.73
649	114	3	4.6
12314	185	6	70.5
294	1712	5	40.54
2150	3120	3	36.16
24263	14330	3	62.86
368	772	5	34.87
2415	520	3	26.3
4588	14	19	55.89
299	32981	3	41.31
19148	12	3	8.09
3540	225	3	23.55
15145	14	5	13.21
2903	1821	17	263.75
683	19650	3	41.89
133	591	25	171.74
7003	11316	4	71.58
49707	14	3	16.55
35043	8	4	47.44
161	4767	3	22.12
5439	58	3	15.26
12	13260	4	9.76
8167	12	14	61.02
11399	12	6	17.07
2987	14	21	46.32
17855	14	9	49.64
332	6904	4	43.2
136	112	12	7.42
101	14595	3	10.44
2363	5780	6	90.52
7253	326	4	43.35
739	106	82	566.47
2266	690	4	39.06
2876	145	5	34.7
19597	3104	3	50.92
6143	14	25	119.22
588	111	11	37.07
17	202	6	7.67
2152	198	3	19.49
209	545	3	12.16
5961	392	3	30.55
10818	12	6	17.07
101	4782	3	3.91
12	6765	4	4.34
1947	106	7	25.38
101	7161	4	9.89
102	3302	4	5.79
6766	2110	4	57.06
102	1450	9	12.88
7849	968	3	37.15
102	4157	3	4.01
12	6564	4	4.1
29528	14	3	10.08
117	113	16	5.12
847	3463	3	31.06
5801	102	16	89.09
455	678	10	84.85
391	360	3	14.22
12	39088	3	13.78
5500	732	4	46.6
35	300	5	6.58
271	109	51	224.47
1891	331	5	42.67
10042	613	3	36.08
556	306	3	14.96
2229	715	4	39.19
2	1055	17	59.91
20369	12	4	13.55
102	5018	3	4.93
12	5809	6	9.08
142	8483	6	57.83
680	8686	3	35.85
12	1747	11	6.74
16729	1081	6	96.56
1002	778	10	101.99
1094	113	8	32.75
5350	1806	3	38.26
10757	363	4	48.13
3306	102	8	21.51
108	9442	3	16.46
5631	997	3	35.04
12	23804	3	9.02
648	26635	3	43.91
3585	12	17	44.5
118	523	35	217.24
2861	114	3	12.46
1323	663	3	24.03
12	4362	6	6.15
221	628	3	13.35
3277	35116	3	57.36
12135	184	12	165.42
25016	17422	3	64.9
4524	9146	5	85.44
102	5940	5	14.37
5076	4104	3	43.11
6581	102	5	15.47
23433	12	3	9.02
12	6742	4	4.34
5598	352	3	29.5
2599	2539	3	35.96
12	17316	3	7.32
21048	4641	4	74.39
115	238	10	21.25
3693	175	5	41.07
125	36842	4	52.86
32372	14	5	27.58
10559	107	3	16.36
3145	9564	8	141.3
2	2466	21	122.1
284	1319	4	28.17
9577	12	6	15.38
12	1788	10	5.22
184	253	5	16.33
8468	186	7	77.3
7059	568	3	33.41
22572	117	7	85.69
297	9002	6	72.34
1403	8	16	96.39
382	21	8	19.05
35	37518	3	31.54
35595	12	4	24.25
759	5387	11	154.86
1666	10293	3	42.29
33902	1336	3	51.87
655	36679	4	69.68
9708	664	4	51.2
1917	7449	4	56.9
101	1197	9	7.7
693	471	3	18.48
6863	102	4	10.91
7231	1054	4	51.89
150	367	9	38.85
41021	14	4	22.06
375	2561	5	47.01
28	4766	36	550.94
1429	538	10	102.42
108	462	15	42.91
106	1189	6	14.3
163	656	22	164.67
2923	1847	3	34.87
713	101	11	5.57
234	155	12	49.88
