18789	3104	3	33.98
476	3552	3	12.43
4389	37164	3	42.84
1396	2885	3	17.15
6540	244	4	18.76
32036	115	3	14.04
106	6109	8	10.84
1326	9121	3	24.45
6987	12	18	7.93
1972	3240	3	19.86
346	2141	3	8.21
35	10946	6	25.3
42088	101	3	7.79
192	608	20	59.97
8598	101	11	7.8
190	360	16	23.13
133	1993	6	8.34
639	12	163	35.28
5332	372	3	13.98
134	3978	4	7.67
129	2263	7	12.22
5646	5117	3	28.89
4252	213	3	8.81
7	4004	10	20.11
767	1750	3	11.03
5123	12016	3	34.44
380	654	7	16.37
1910	190	4	6.95
2445	33618	3	39.58
101	26559	5	8.22
27874	153	3	20.22
101	41944	3	7.79
855	477	13	58.37
1975	763	3	11.37
342	684	12	38.88
856	102	61	8.98
5995	1962	3	23.97
566	812	4	9.43
5516	113	5	8.24
146	10324	3	10.06
25223	101	5	8.22
159	582	9	6.67
132	160	58	47.53
317	3149	3	9.64
1690	393	4	12.02
10067	111	5	11.8
160	211	19	8.56
2685	1154	5	31.27
2141	123	6	7.35
30632	103	3	7.17
765	145	11	12.79
9268	603	3	19.74
2814	149	14	56.75
3902	188	3	7.28
1849	184	6	13.67
110	38251	3	13.73
1611	1468	4	21.13
127	10321	3	8.87
5032	662	6	43.93
107	22198	3	6.89
2605	781	5	27.44
142	5954	4	11.47
2	11530	6	14.02
762	9560	5	41.81
1900	101	43	20.64
444	32911	3	27.56
532	2966	6	33.64
404	1120	4	8.96
38617	57	3	14.74
3906	185	4	11.98
328	1762	4	10.72
263	1200	5	10.32
1288	335	9	34.04
811	1396	3	9.98
298	1868	3	6.68
812	1281	3	9.62
40481	13441	3	50.49
9998	39098	3	48.14
201	21	75	48.73
10	8	28	62.13
2126	4182	3	22.27
9086	1326	15	192.5
7968	217	3	12.59
41074	28	4	42.65
5950	722	8	64.96
142	1461	27	105.3
1702	390	4	11.83
4928	320	3	12.45
1598	12292	12	167.03
15586	6424	3	37
22615	480	4	36.42
3201	2118	9	81.91
879	6050	3	19.32
106	20244	4	10.13
2788	897	9	64.84
1863	2	14	8.19
297	1117	4	6.98
6846	145	3	7.86
200	2941	3	7.09
46231	31526	3	61.76
6397	9	7	18.94
9	5	11	13.66
1635	1798	3	15.87
12122	198	3	14.29
4488	948	3	17.48
435	2435	3	9.8
434	3063	4	16.88
2123	1966	25	269.85
12417	266	3	17.25
136	6577	3	6.86
1995	559	3	10.05
6180	12	21	10.88
1419	692	4	14.18
26847	1343	4	46.17
45592	101	3	7.79
21	18267	7	36.43
18703	101	7	9.92
4890	450	9	62.82
110	1331	29	50.79
147	15507	4	19.39
7	157	98	23.85
102	31535	4	7.23
2814	924	3	14.75
43307	2	3	15.99
19636	17994	3	47.47
12	30293	5	7.6
829	14	172	20.83
832	746	7	27.41
892	107	26	10.91
143	8312	3	8.99
373	1588	6	22.58
13579	137	6	32.89
375	1868	4	12.76
163	7987	6	31.15
2900	842	6	37.12
3413	645	3	13.85
2481	603	7	40.18
10577	7451	3	36.42
228	6658	3	12.21
4114	342	3	11.82
1972	2773	3	18.87
227	6270	3	11.42
12360	423	8	73.94
705	4981	3	16.28
113	37683	3	15.45
1495	8	12	11.74
2172	439	3	9.35
2684	128	5	7.28
734	2309	3	12.8
1133	15129	6	63.63
12790	122	5	21.39
8	17205	3	9.17
5331	273	6	31.9
5943	166	3	8.2
57	1009	15	8.16
109	218	71	21.31
11635	17	3	8.39
4190	106	9	8.24
245	31279	3	25.93
101	46539	3	7.79
1	3072	51	375.37
3383	12	33	7.49
1898	37462	3	37.96
2960	458	24	201.95
8846	57	8	26.14
507	2500	12	77
858	252	5	6.89
15975	1131	3	26.92
12939	618	4	31.71
1558	1148	3	12.08
2002	58	9	7.48
1164	11724	4	35.79
4972	544	3	14.93
107	5755	9	14.62
195	5479	3	9.43
1347	101	49	11.52
12	13680	11	11.09
107	18926	4	9.52
326	14	453	24.95
229	2009	4	9.12
16564	491	3	22.55
5311	144	4	10.79
2821	361	4	15.3
8	3906	6	8.49
9	2727	11	19.75
21	1145	13	8.96
41586	321	3	32.43
678	733	12	54.43
12066	641	3	21.56
12385	854	3	24.18
142	5055	5	14.63
12	12223	12	9.28
979	599	4	10.87
187	9311	3	12.1
1386	980	3	10.96
23386	221	4	30
401	872	4	7.31
3466	109	12	18.59
1456	1382	5	26.84
35998	57	3	14.74
1418	1673	3	13.98
432	520	7	15.46
14947	272	3	18.36
24714	14600	3	47.28
1546	421	6	22.5
367	2586	3	9.44
137	7873	4	12.99
170	6714	3	9.14
16094	109	4	10.18
20890	1448	3	30.27
102	8496	10	6.8
5754	21499	6	93.34
11260	107	5	8.82
5637	4520	6	65.84
2786	996	3	15.03
5275	141	4	10.29
173	3615	4	11.06
268	1379	4	7.82
5375	3991	6	64.2
295	1276	4	8.11
114	3949	8	14.56
4292	177	6	21.91
267	1264	4	7.35
8	1176	14	11.58
21328	10145	7	126.01
1194	1752	3	12.97
35	48089	3	22.53
185	14427	3	15.53
922	241	5	7.57
2962	361	4	15.85
409	178	10	7.81
471	2507	3	10.38
149	8405	3	9.29
10889	192	3	15.59
113	23189	3	10.61
4021	329	3	11.29
3921	277	3	10.01
8009	165	3	9.83
12	27151	6	9.12
210	15050	3	17.69
5182	8472	3	31.68
9558	113	4	9.4
133	1155	8	8.14
1311	4166	3	18.76
192	2275	4	8.89
11664	2913	3	30.44
106	3814	11	11.95
9207	106	6	9.87
830	1114	4	13.94
113	27418	3	11.78
