19940	865
10257	866
22649	867
28996	868
20549	869
14	870
2032	871
20305	872
58430	873
32289	874
2042	875
43711	876
85358	877
25468	878
42627	879
30	880
998	881
50604	882
6666	883
1412	884
15050	885
88248	886
22295	887
22	888
10	889
46011	890
25760	891
6606	892
24992	893
40151	894
26144	895
6969	896
32592	897
13846	898
47926	899
1920	900
17941	901
8515	902
48647	903
80144	904
81319	905
1422	906
2601	907
62422	908
38874	909
3217	910
32955	911
41168	912
40436	913
7885	914
51215	915
17102	916
34285	917
86967	918
44021	919
7223	920
23848	921
60749	922
60196	923
33109	924
20375	925
85786	926
6844	927
88619	928
88840	929
83	930
32394	931
81005	932
51004	933
24995	934
58373	935
20369	936
2770	937
3142	938
2262	939
12242	940
21543	941
52625	942
43770	943
1546	944
46046	945
94	946
86921	947
41504	948
16437	949
12	950
6631	951
56482	952
21926	953
32214	954
42486	955
37776	956
648	957
16915	958
35504	959
83038	960
13179	961
80821	962
25879	963
21720	964
45885	965
85676	966
1451	967
1057	968
51535	969
18350	970
52390	971
53084	972
73004	973
8493	974
31162	975
25194	976
17563	977
11453	978
10178	979
15637	980
52041	981
29684	982
40357	983
28816	984
53163	985
8008	986
86624	987
27	988
7317	989
15765	990
48083	991
39849	992
1950	993
21331	994
14713	995
36140	996
6920	997
10255	998
88604	999
2009	1000
27894	1001
48540	1002
31355	1003
51286	1004
61445	1005
57310	1006
39667	1007
10112	1008
68153	1009
22360	1010
12958	1011
28797	1012
12936	1013
7062	1014
63430	1015
24255	1016
81317	1017
66083	1018
17349	1019
54127	1020
32000	1021
89210	1022
35207	1023
23387	1024
87188	1025
4347	1026
86574	1027
43316	1028
10656	1029
49007	1030
63136	1031
36932	1032
74131	1033
35331	1034
395	1035
26463	1036
8	1037
16801	1038
17715	1039
17704	1040
4765	1041
1	1042
89426	1043
53457	1044
16784	1045
63407	1046
63374	1047
36850	1048
84679	1049
17295	1050
17124	1051
6624	1052
74056	1053
44584	1054
1236	1055
28142	1056
27682	1057
27979	1058
27465	1059
78826	1060
73818	1061
67615	1062
80747	1063
41146	1064
18601	1065
41042	1066
18828	1067
41637	1068
73521	1069
13252	1070
78378	1071
45211	1072
45213	1073
68359	1074
55845	1075
28972	1076
13408	1077
3644	1078
86442	1079
23340	1080
64266	1081
28178	1082
27928	1083
28234	1084
34229	1085
17784	1086
8597	1087
89642	1088
22639	1089
14243	1090
3887	1091
18759	1092
3740	1093
11331	1094
28308	1095
55253	1096
28244	1097
18339	1098
18935	1099
1	1100
28049	1101
20555	1102
2843	1103
57172	1104
51936	1105
78453	1106
13647	1107
67211	1108
11129	1109
27950	1110
22426	1111
2814	1112
68167	1113
28000	1114
66819	1115
28228	1116
28210	1117
45201	1118
14897	1119
17365	1120
16899	1121
75920	1122
82186	1123
18700	1124
22721	1125
42610	1126
1291	1127
74697	1128
27886	1129
1	1130
49142	1131
254	1132
13270	1133
44116	1134
13413	1135
39052	1136
879	1137
1985	1138
28140	1139
1	1140
41179	1141
16976	1142
13615	1143
73725	1144
8944	1145
1818	1146
12248	1147
6232	1148
31081	1149
77999	1150
6245	1151
86049	1152
10260	1153
4146	1154
44895	1155
18307	1156
52936	1157
78827	1158
41592	1159
86655	1160
49281	1161
41650	1162
9657	1163
23373	1164
18125	1165
18931	1166
10155	1167
16933	1168
27329	1169
78854	1170
39387	1171
86482	1172
55254	1173
46901	1174
55222	1175
14152	1176
86977	1177
2214	1178
26648	1179
62121	1180
28035	1181
15572	1182
15566	1183
44	1184
42685	1185
85237	1186
48423	1187
3089	1188
84245	1189
10616	1190
27916	1191
2233	1192
15973	1193
17566	1194
16385	1195
78855	1196
77148	1197
50557	1198
89926	1199
34161	1200
27653	1201
21586	1202
385	1203
12734	1204
1982	1205
66511	1206
32564	1207
10144	1208
89821	1209
23554	1210
6886	1211
89476	1212
1	1213
31172	1214
41537	1215
76890	1216
21189	1217
24191	1218
11405	1219
3850	1220
40775	1221
20622	1222
45358	1223
5231	1224
46606	1225
49546	1226
86827	1227
39796	1228
44402	1229
37081	1230
43904	1231
19512	1232
12276	1233
2231	1234
62492	1235
88784	1236
38752	1237
13441	1238
12927	1239
44565	1240
7725	1241
9674	1242
88692	1243
755	1244
48224	1245
89579	1246
13	1247
23	1248
35833	1249
20751	1250
55382	1251
82021	1252
13	1253
35346	1254
28992	1255
26489	1256
50603	1257
1210	1258
27105	1259
59179	1260
30095	1261
23803	1262
7628	1263
85828	1264
17256	1265
82212	1266
64896	1267
961	1268
2262	1269
22473	1270
20379	1271
34175	1272
88842	1273
5	1274
26959	1275
8571	1276
14118	1277
11564	1278
6701	1279
29577	1280
6774	1281
42817	1282
32557	1283
88529	1284
4985	1285
18	1286
18915	1287
13792	1288
43810	1289
43245	1290
66171	1291
25801	1292
304	1293
43436	1294
36063	1295
9241	1296
17030	1297
34998	1298
16123	1299
61	1300
963	1301
43041	1302
42140	1303
35449	1304
162	1305
40460	1306
7338	1307
7011	1308
37853	1309
88333	1310
19776	1311
43441	1312
13483	1313
24601	1314
89587	1315
2712	1316
69415	1317
89233	1318
37719	1319
27264	1320
7581	1321
7611	1322
16459	1323
17277	1324
27451	1325
9565	1326
37778	1327
7786	1328
48114	1329
383	1330
11213	1331
72484	1332
38652	1333
89491	1334
1512	1335
8840	1336
47119	1337
11483	1338
50	1339
36186	1340
16788	1341
27713	1342
22585	1343
11004	1344
56090	1345
49648	1346
27098	1347
49577	1348
2265	1349
19360	1350
60	1351
53316	1352
86649	1353
7820	1354
45014	1355
27963	1356
59112	1357
30702	1358
40274	1359
28636	1360
50257	1361
54815	1362
28370	1363
11	1364
2758	1365
46887	1366
38109	1367
105	1368
88241	1369
31246	1370
30	1371
44848	1372
1411	1373
26843	1374
648	1375
46042	1376
8290	1377
2760	1378
2758	1379
1825	1380
12856	1381
23716	1382
87632	1383
30701	1384
87789	1385
68070	1386
27332	1387
58972	1388
27468	1389
58791	1390
2	1391
33887	1392
34101	1393
47288	1394
9621	1395
49394	1396
59687	1397
35746	1398
34104	1399
40	1400
37456	1401
34122	1402
34102	1403
32022	1404
13190	1405
13705	1406
62792	1407
39884	1408
32660	1409
47161	1410
48916	1411
410	1412
42493	1413
18542	1414
52679	1415
10973	1416
7202	1417
27513	1418
59117	1419
70	1420
23475	1421
66163	1422
7243	1423
32565	1424
29094	1425
24104	1426
34098	1427
49841	1428
44856	1429
1820	1430
87252	1431
573	1432
85650	1433
41662	1434
21622	1435
41457	1436
2211	1437
24539	1438
88892	1439
37439	1440
24749	1441
16956	1442
52312	1443
3304	1444
38799	1445
23386	1446
23652	1447
14	1448
89511	1449
89795	1450
25766	1451
80519	1452
39758	1453
26820	1454
49663	1455
14121	1456
36262	1457
36756	1458
56116	1459
65841	1460
2493	1461
41150	1462
45215	1463
21074	1464
61507	1465
22628	1466
20892	1467
24666	1468
24665	1469
25	1470
25139	1471
74573	1472
12989	1473
16194	1474
13618	1475
56820	1476
11102	1477
34124	1478
34110	1479
44510	1480
44710	1481
45086	1482
37746	1483
44901	1484
36267	1485
36183	1486
49558	1487
